D  Lombardia Girone E classifica marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
227,Fusarpoli Nicholas (98),BC Arlunese,C,8,10,"0,80",
228,Chiodini Luca,AS Dil. Baskettiamo Vittuone,A,7,1,"7,00",
229,Cannata Davide,Basket Legnano 91, ,7,3,"2,33",
230,Caldario,A.S. Dil. Campus Varese, ,7,4,"1,75",
231,Fratin Matteo (95),A.S.D. Basket Venegono,C,7,5,"1,40",
232,Castiglioni R.,Pallacanestro Busto, ,7,9,"0,78",
233,Settimo Massimiliano (77),G.S. Pall. Castronno,P/G,6,2,"3,00",
234,Vitelli Marco,AS Dil. Baskettiamo Vittuone,G,6,2,"3,00",
235,De Franco,Show Camp Corbetta, ,6,2,"3,00",
236,Campiotti Matteo (85),ASD Montello,G,6,3,"2,00",
237,Martignoni,A.S.D. Pol. Daverio, ,6,3,"2,00",
238,Gussoni,U.S. Marnatese Basket, ,6,4,"1,50",
239,Losa Lorenzo (89),BC Arlunese,P/G,6,13,"0,46",
240,Vigliani,ASD Ardens Basket Sedriano, ,5,1,"5,00",
241,Basciu,AS Dil. Baskettiamo Vittuone, ,5,2,"2,50",
242,Castiglioni Luca (97),Show Camp Corbetta,P/G,5,3,"1,67",
243,Gandini,U.S. Marnatese Basket, ,5,3,"1,67",
244,Vivarelli Riccardo,U.S. Marnatese Basket,P,5,6,"0,83",
245,Accoto,U.S. Marnatese Basket, ,5,10,"0,50",
246,Gualco Michele  (95),A.S. Dil. Campus Varese, ,4,1,"4,00",
247,Zambon,Pallacanestro Busto, ,4,1,"4,00",
248,Di Muraglia   Andrea  (92),ASD Ardens Basket Sedriano,A/C,4,2,"2,00",
249,Porta Simone ,AS Dil. Baskettiamo Vittuone,P,4,3,"1,33",
250,Balzaretti,A.S. Dil. Campus Varese, ,4,3,"1,33",
251,Cervello Lorenzo,Basket Legnano 91, ,3,1,"3,00",
252,Modesti,A.S. Dil. Campus Varese, ,3,2,"1,50",
253,Padovani,Nelson Somma Lombardo, ,3,4,"0,75",
254,Donghi,ASD Ardens Basket Sedriano, ,3,9,"0,33",
255,Frattini Mattia   (96),Or.Ma. Basket Malnate,P/G,3,17,"0,18",
256,Lombardi,ASD Montello, ,2,1,"2,00",
257,Armocida,A.S. Dil. Campus Varese, ,2,1,"2,00",
258,Masocco,AS Dil. Baskettiamo Vittuone, ,2,1,"2,00",
259,Portatavino,Pallacanestro Busto, ,2,1,"2,00",
260,Famulari A.,Pallacanestro Busto, ,2,2,"1,00",
261,Galli M.,Nelson Somma Lombardo, ,2,2,"1,00",
262,Clerici,A.S.D. Basket Venegono, ,2,3,"0,67",
263,Guadagnin Andrea (95),A.S.D. Basket Venegono,P/G,2,3,"0,67",
264,Rossi Andrea  (91),U.S. Marnatese Basket,P,2,3,"0,67",
265,Canegallo,Or.Ma. Basket Malnate, ,2,3,"0,67",
266,Papadopulos,A.S. Dil. Campus Varese, ,2,5,"0,40",
267,Baroni  Stefano  (95),Or.Ma. Basket Malnate,G,2,6,"0,33",
268,Reverberi   Paolo  (75),Show Camp Corbetta,C,1,1,"1,00",
269,Podgornik Andrea,AS Dil. Baskettiamo Vittuone,P,1,3,"0,33",
270,Aspesani,U.S. Marnatese Basket, ,1,5,"0,20",
D  Lombardia Girone D classifica marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Remonti Paolo (74),G.S. Pall. Castronno,G,135,7,"19,29",
2,Tacchini Eric (92),Virtus Olona ASD,A,287,16,"17,94",
3,Leo Luca (77),G.S. Pall. Castronno,A,330,19,"17,37",
4,Gatti Simone (94),BC Arlunese,A/C,485,28,"17,32",
5,Riva Giacomo  (77),A.S.D. Basket Venegono,A/C,350,22,"15,91",
6,Mandelli (93),ASD Ardens Basket Sedriano, ,177,12,"14,75",
7,Riva Francesco (79),A.S.D. Basket Venegono,A/C,262,18,"14,56",
8,Piccoli Matteo (95),A.S. Dil. Campus Varese, ,29,2,"14,50",
9,Tannoia Riccardo,AS Dil. Baskettiamo Vittuone,P,274,19,"14,42",
10,Moalli Dario (91),Nelson Somma Lombardo,A/C,389,27,"14,41",
11,Di Giovanni Stefano,AS Dil. Baskettiamo Vittuone,P/G,198,14,"14,14",
12,Vanoli Davide,U.S. Marnatese Basket, ,375,27,"13,89",
13,Franzini Andrea (86),U.S. Marnatese Basket,A,179,13,"13,77",
14,Borsani D.,Pallacanestro Busto, ,354,26,"13,62",
15,Maruca Matteo (97),A.S. Dil. Campus Varese,A,270,20,"13,50",
16,Portaluppi Niccolò,AS Dil. Baskettiamo Vittuone,G/A,297,22,"13,50",
17,Binda Matteo (87),G.S. Pall. Castronno,A,344,26,"13,23",
18,Galli S.,Pallacanestro Busto, ,264,20,"13,20",
19,Pehar Marin (90),G.S. Pall. Castronno,A/C,180,14,"12,86",
20,Bernasconi Pietro (95),ASD Montello,G,319,25,"12,76",
